record_id,year,region_code,region_name,facility,cement_output_t,clinker_ratio,scm_type,scm_use_t,estimated_clinker_t,source_office,data_status,ipcc_category
SCM-2021-001,2021,R13,Caraga,Synthetic Cement Plant 01,293486.1,0.592,fly ash,98606.7,173743.8,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-002,2021,R02,Cagayan Valley,Synthetic Cement Plant 02,145562.2,0.696,ground granulated blast-furnace slag,20446,101311.3,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-003,2021,R06,Western Visayas,Synthetic Cement Plant 03,378806.4,0.727,natural pozzolan,60623.2,275392.3,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-004,2021,R11,Davao Region,Synthetic Cement Plant 04,335713,0.595,calcined clay,93649.8,199749.2,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-005,2021,CAR,Cordillera Administrative Region,Synthetic Cement Plant 05,119112.7,0.716,fly ash,28042.6,85284.7,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-006,2021,MIMAROPA,MIMAROPA Region,Synthetic Cement Plant 06,157941.1,0.657,ground granulated blast-furnace slag,33742.7,103767.3,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-007,2021,R09,Zamboanga Peninsula,Synthetic Cement Plant 07,233961.2,0.804,natural pozzolan,31607.3,188104.8,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-008,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Cement Plant 08,170186.6,0.617,calcined clay,54199.3,105005.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-009,2021,R03,Central Luzon,Synthetic Cement Plant 09,153607.5,0.672,fly ash,41995.3,103224.2,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-010,2021,R07,Central Visayas,Synthetic Cement Plant 10,35580.1,0.73,ground granulated blast-furnace slag,6998.9,25973.5,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-011,2021,R12,SOCCSKSARGEN,Synthetic Cement Plant 11,112118.4,0.736,natural pozzolan,16128.1,82519.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-012,2021,R01,Ilocos Region,Synthetic Cement Plant 12,225503.9,0.742,calcined clay,45129.2,167323.9,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-013,2021,R05,Bicol Region,Synthetic Cement Plant 13,197452.2,0.769,fly ash,26172.7,151840.7,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-014,2021,R10,Northern Mindanao,Synthetic Cement Plant 14,339671.1,0.74,ground granulated blast-furnace slag,60876.9,251356.6,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-015,2021,NCR,National Capital Region,Synthetic Cement Plant 15,406835.1,0.776,natural pozzolan,57831.6,315704,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2021-016,2021,R04A,CALABARZON,Synthetic Cement Plant 16,185562.6,0.631,calcined clay,44833.6,117090,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-001,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Cement Plant 01,113572.3,0.693,fly ash,18556,78705.6,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-002,2022,R03,Central Luzon,Synthetic Cement Plant 02,174384.3,0.649,ground granulated blast-furnace slag,33172,113175.4,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-003,2022,R07,Central Visayas,Synthetic Cement Plant 03,362845,0.716,natural pozzolan,62388.2,259797,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-004,2022,R12,SOCCSKSARGEN,Synthetic Cement Plant 04,348643.5,0.802,calcined clay,34306.4,279612.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-005,2022,R01,Ilocos Region,Synthetic Cement Plant 05,329048.2,0.767,fly ash,56708.2,252380,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-006,2022,R05,Bicol Region,Synthetic Cement Plant 06,319870.5,0.743,ground granulated blast-furnace slag,67919.8,237663.8,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-007,2022,R10,Northern Mindanao,Synthetic Cement Plant 07,227393.9,0.688,natural pozzolan,35608.2,156447,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-008,2022,NCR,National Capital Region,Synthetic Cement Plant 08,38523.7,0.679,calcined clay,9056.9,26157.6,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-009,2022,R04A,CALABARZON,Synthetic Cement Plant 09,154974.6,0.583,fly ash,31223.3,90350.2,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-010,2022,R08,Eastern Visayas,Synthetic Cement Plant 10,209497.7,0.726,ground granulated blast-furnace slag,42447,152095.3,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-011,2022,R13,Caraga,Synthetic Cement Plant 11,80369.9,0.746,natural pozzolan,16361.7,59955.9,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-012,2022,R02,Cagayan Valley,Synthetic Cement Plant 12,294030.4,0.62,calcined clay,63797.2,182298.8,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-013,2022,R06,Western Visayas,Synthetic Cement Plant 13,215203.1,0.728,fly ash,44239.2,156667.9,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-014,2022,R11,Davao Region,Synthetic Cement Plant 14,139359.7,0.598,ground granulated blast-furnace slag,34297.9,83337.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-015,2022,CAR,Cordillera Administrative Region,Synthetic Cement Plant 15,74380.3,0.621,natural pozzolan,21163.7,46190.2,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2022-016,2022,MIMAROPA,MIMAROPA Region,Synthetic Cement Plant 16,92173.3,0.782,calcined clay,10081.1,72079.5,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-001,2023,NCR,National Capital Region,Synthetic Cement Plant 01,153000,0.607,fly ash,27212.6,92871,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-002,2023,R04A,CALABARZON,Synthetic Cement Plant 02,172358.7,0.623,ground granulated blast-furnace slag,30356.6,107379.5,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-003,2023,R08,Eastern Visayas,Synthetic Cement Plant 03,143929.2,0.648,natural pozzolan,38849.8,93266.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-004,2023,R13,Caraga,Synthetic Cement Plant 04,165481.3,0.585,calcined clay,57937.6,96806.6,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-005,2023,R02,Cagayan Valley,Synthetic Cement Plant 05,323622.5,0.752,fly ash,50782.9,243364.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-006,2023,R06,Western Visayas,Synthetic Cement Plant 06,367786.3,0.734,ground granulated blast-furnace slag,44531.1,269955.1,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-007,2023,R11,Davao Region,Synthetic Cement Plant 07,51486.6,0.582,natural pozzolan,11390.2,29965.2,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-008,2023,CAR,Cordillera Administrative Region,Synthetic Cement Plant 08,73015,0.669,calcined clay,12360.2,48847,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
SCM-2023-009,2023,MIMAROPA,MIMAROPA Region,Synthetic Cement Plant 09,345140.8,0.659,fly ash,59797.3,227447.8,DENR-EMB / industry submissions,SYNTHETIC_DEMO,2.A.1
