record_id,year,quarter,facility_id,region_code,region_name,scope1_proxy_tco2e,method,data_status
EC-2021Q1-001,2021,1,MGB-FAC-001,R04A,CALABARZON,336.59,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-002,2021,1,MGB-FAC-002,R08,Eastern Visayas,448.02,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-003,2021,1,MGB-FAC-003,R13,Caraga,4217.3,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-004,2021,1,MGB-FAC-004,R02,Cagayan Valley,492.21,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-005,2021,1,MGB-FAC-005,R06,Western Visayas,279.05,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-006,2021,1,MGB-FAC-006,R11,Davao Region,274.17,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-007,2021,1,MGB-FAC-007,CAR,Cordillera Administrative Region,4048.36,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-008,2021,1,MGB-FAC-008,MIMAROPA,MIMAROPA Region,256.97,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-009,2021,1,MGB-FAC-009,R09,Zamboanga Peninsula,261.4,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-010,2021,1,MGB-FAC-010,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,1149.27,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-011,2021,1,MGB-FAC-011,R03,Central Luzon,411.91,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-012,2021,1,MGB-FAC-012,R07,Central Visayas,240.49,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-013,2021,1,MGB-FAC-013,R12,SOCCSKSARGEN,119.97,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-014,2021,1,MGB-FAC-014,R01,Ilocos Region,4407.29,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-015,2021,1,MGB-FAC-015,R05,Bicol Region,257.89,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-016,2021,1,MGB-FAC-016,R10,Northern Mindanao,506.38,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-017,2021,1,MGB-FAC-017,NCR,National Capital Region,3837.28,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-018,2021,1,MGB-FAC-018,R04A,CALABARZON,241.17,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-019,2021,1,MGB-FAC-019,R08,Eastern Visayas,397.71,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-020,2021,1,MGB-FAC-020,R13,Caraga,150.93,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
