record_id,year,facility_id,operator,region_code,region_name,commodity,resource_or_reserve,unit,classification,report_basis,source_office,data_status
RR-2021-001,2021,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,27.19,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-002,2021,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,39.14,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-003,2021,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,76.79,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-004,2021,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,41.93,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-005,2021,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,39.58,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-006,2021,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,83.89,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-007,2021,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,93.46,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-008,2021,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,11.9,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-009,2021,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,87.73,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-010,2021,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,11.64,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-011,2021,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,89.61,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-012,2021,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,26.51,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-013,2021,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,53.01,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-014,2021,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,55.78,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-015,2021,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,65.66,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-016,2021,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,71.8,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-017,2021,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,51.8,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2021-018,2021,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,56.99,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
