year,region_psgc,region_code,mean_temp_anomaly_c,rainfall_anomaly_pct,flood_risk_index,drought_risk_index,landslide_risk_index,cyclone_exposure_index,composite_climate_risk_index,data_status
2020,PH130000000,NCR,0.96,11.8,49.1,53.0,26.4,41.9,43.5,SYNTHETIC
2020,PH140000000,CAR,0.65,8.4,55.0,39.1,63.0,60.9,54.6,SYNTHETIC
2020,PH010000000,I,0.72,18.6,64.7,42.9,35.0,60.3,52.8,SYNTHETIC
2020,PH020000000,II,0.82,15.0,60.4,22.1,26.1,76.6,49.3,SYNTHETIC
2020,PH030000000,III,0.74,0.8,61.0,34.7,25.2,46.5,44.3,SYNTHETIC
2020,PH040000000,IV-A,0.87,8.9,70.0,37.1,33.0,63.3,53.6,SYNTHETIC
2020,PH170000000,MIMAROPA,0.73,8.3,62.7,30.6,28.4,48.2,45.0,SYNTHETIC
2020,PH050000000,V,0.59,13.8,78.7,36.8,65.5,85.2,68.5,SYNTHETIC
2020,PH060000000,VI,0.68,-1.1,45.9,40.4,29.4,34.5,38.4,SYNTHETIC
2020,PH070000000,VII,0.76,2.7,57.0,39.2,38.2,31.8,42.8,SYNTHETIC
2020,PH080000000,VIII,0.71,9.3,75.2,27.4,55.5,87.6,64.0,SYNTHETIC
2020,PH090000000,IX,0.81,9.0,48.1,41.1,22.5,35.6,38.2,SYNTHETIC
2020,PH100000000,X,0.78,7.9,48.2,45.8,25.0,35.6,39.7,SYNTHETIC
2020,PH110000000,XI,0.73,8.5,46.3,38.3,62.4,38.4,45.7,SYNTHETIC
2020,PH120000000,XII,0.72,6.3,36.3,54.7,39.4,27.3,38.6,SYNTHETIC
2020,PH160000000,XIII,0.67,15.9,43.7,38.4,52.7,36.7,42.5,SYNTHETIC
2020,PH190000000,BARMM,0.56,14.1,46.2,50.7,21.6,38.2,40.2,SYNTHETIC
2021,PH130000000,NCR,0.83,13.5,60.3,46.2,37.1,28.3,44.2,SYNTHETIC
2021,PH140000000,CAR,0.84,-0.9,51.1,41.9,49.4,58.9,50.8,SYNTHETIC
2021,PH010000000,I,0.64,1.2,59.7,47.4,37.6,68.2,54.8,SYNTHETIC
2021,PH020000000,II,0.84,16.7,78.6,36.7,32.0,68.5,57.4,SYNTHETIC
2021,PH030000000,III,0.99,2.9,58.7,44.1,28.8,53.9,48.3,SYNTHETIC
2021,PH040000000,IV-A,1.02,10.0,65.9,38.9,20.6,56.8,48.6,SYNTHETIC
2021,PH170000000,MIMAROPA,0.8,12.6,52.7,39.5,33.2,60.7,48.0,SYNTHETIC
2021,PH050000000,V,0.72,21.5,72.5,21.1,52.1,83.6,60.0,SYNTHETIC
2021,PH060000000,VI,0.73,13.5,45.5,39.2,39.0,41.1,41.7,SYNTHETIC
2021,PH070000000,VII,0.85,3.1,42.8,43.5,39.7,42.0,42.2,SYNTHETIC
2021,PH080000000,VIII,0.65,2.6,81.2,22.7,66.9,84.4,66.3,SYNTHETIC
2021,PH090000000,IX,0.84,7.4,35.1,34.8,38.9,34.6,35.7,SYNTHETIC
2021,PH100000000,X,0.91,5.2,51.0,37.7,24.8,42.5,40.6,SYNTHETIC
2021,PH110000000,XI,0.76,5.1,43.1,54.5,48.2,28.7,42.9,SYNTHETIC
2021,PH120000000,XII,0.75,7.4,40.9,36.1,38.2,41.6,39.5,SYNTHETIC
2021,PH160000000,XIII,0.76,3.0,48.0,50.3,52.6,29.6,44.6,SYNTHETIC
2021,PH190000000,BARMM,0.76,0.8,54.0,55.8,26.1,33.7,43.6,SYNTHETIC
2022,PH130000000,NCR,1.07,-2.1,56.6,39.8,27.4,36.2,41.8,SYNTHETIC
2022,PH140000000,CAR,0.84,1.2,55.1,30.7,54.0,66.9,52.6,SYNTHETIC
2022,PH010000000,I,0.85,11.7,69.3,35.7,25.7,62.3,51.4,SYNTHETIC
2022,PH020000000,II,0.88,12.6,69.6,40.8,26.8,82.4,58.0,SYNTHETIC
2022,PH030000000,III,1.1,16.3,62.7,36.7,24.2,45.9,44.9,SYNTHETIC
2022,PH040000000,IV-A,0.99,2.5,66.5,29.6,38.0,55.8,49.9,SYNTHETIC
2022,PH170000000,MIMAROPA,0.73,16.8,51.9,31.8,33.2,54.1,44.3,SYNTHETIC
2022,PH050000000,V,0.89,2.3,78.8,38.3,64.9,83.4,68.3,SYNTHETIC
2022,PH060000000,VI,0.72,11.0,38.7,35.4,32.1,33.4,35.3,SYNTHETIC
2022,PH070000000,VII,1.01,6.4,60.6,36.7,35.1,41.5,45.3,SYNTHETIC
2022,PH080000000,VIII,0.89,19.5,79.2,30.5,62.3,88.0,67.4,SYNTHETIC
2022,PH090000000,IX,0.95,7.5,45.6,34.6,33.9,27.0,36.0,SYNTHETIC
