station_id,station_name,region_psgc,region_code,latitude,longitude,station_type,latest_obs_date,completeness_30d_pct,data_status
CIS-001,CAR Climate Node 1,PH140000000,CAR,15.8928,120.6066,Synoptic,2026-09-15,83.5,SYNTHETIC
CIS-002,I Climate Node 1,PH010000000,I,16.0889,120.7305,AWS,2026-09-15,96.0,SYNTHETIC
CIS-003,II Climate Node 1,PH020000000,II,16.8214,122.4452,AWS,2026-09-15,91.9,SYNTHETIC
CIS-004,III Climate Node 1,PH030000000,III,15.0213,121.0943,Synoptic,2026-09-15,90.9,SYNTHETIC
CIS-005,IV-A Climate Node 1,PH040000000,IV-A,14.4274,120.4114,Coastal,2026-09-15,85.6,SYNTHETIC
CIS-006,MIMAROPA Climate Node 1,PH170000000,MIMAROPA,12.8105,121.47,Air Quality/Met,2026-09-15,98.6,SYNTHETIC
CIS-007,V Climate Node 1,PH050000000,V,13.1558,123.9143,Coastal,2026-09-15,99.1,SYNTHETIC
CIS-008,VI Climate Node 1,PH060000000,VI,10.9627,122.452,AWS,2026-09-15,88.6,SYNTHETIC
CIS-009,VII Climate Node 1,PH070000000,VII,10.9902,123.3661,Rain Gauge,2026-09-15,85.7,SYNTHETIC
CIS-010,VIII Climate Node 1,PH080000000,VIII,10.7091,124.8172,AWS,2026-09-15,88.1,SYNTHETIC
CIS-011,IX Climate Node 1,PH090000000,IX,7.9296,123.0961,Coastal,2026-09-15,96.6,SYNTHETIC
CIS-012,X Climate Node 1,PH100000000,X,7.3468,125.1703,Rain Gauge,2026-09-15,89.3,SYNTHETIC
CIS-013,XI Climate Node 1,PH110000000,XI,7.7351,125.6502,AWS,2026-09-15,82.7,SYNTHETIC
CIS-014,XII Climate Node 1,PH120000000,XII,6.8149,124.9557,Coastal,2026-09-15,88.3,SYNTHETIC
CIS-015,XIII Climate Node 1,PH160000000,XIII,8.2533,125.7287,AWS,2026-09-15,96.6,SYNTHETIC
CIS-016,BARMM Climate Node 1,PH190000000,BARMM,6.7366,124.2384,Air Quality/Met,2026-09-15,89.4,SYNTHETIC
CIS-017,NCR Climate Node 1,PH130000000,NCR,14.6042,121.6703,AWS,2026-09-15,93.8,SYNTHETIC
CIS-018,CAR Climate Node 2,PH140000000,CAR,16.8641,120.4506,Rain Gauge,2026-09-15,96.0,SYNTHETIC
CIS-019,I Climate Node 2,PH010000000,I,15.8121,121.2611,Coastal,2026-09-15,84.8,SYNTHETIC
CIS-020,II Climate Node 2,PH020000000,II,16.3027,121.3206,Coastal,2026-09-15,89.0,SYNTHETIC
CIS-021,III Climate Node 2,PH030000000,III,15.8614,120.5357,Synoptic,2026-09-15,88.0,SYNTHETIC
CIS-022,IV-A Climate Node 2,PH040000000,IV-A,13.9777,121.4828,Air Quality/Met,2026-09-15,82.1,SYNTHETIC
CIS-023,MIMAROPA Climate Node 2,PH170000000,MIMAROPA,12.8179,121.9124,AWS,2026-09-15,90.8,SYNTHETIC
CIS-024,V Climate Node 2,PH050000000,V,12.9423,123.2316,Synoptic,2026-09-15,88.7,SYNTHETIC
CIS-025,VI Climate Node 2,PH060000000,VI,10.9009,123.0452,Synoptic,2026-09-15,96.3,SYNTHETIC
CIS-026,VII Climate Node 2,PH070000000,VII,9.6807,124.3314,Coastal,2026-09-15,92.9,SYNTHETIC
CIS-027,VIII Climate Node 2,PH080000000,VIII,11.9342,125.0678,Air Quality/Met,2026-09-15,95.3,SYNTHETIC
CIS-028,IX Climate Node 2,PH090000000,IX,8.0882,123.528,Rain Gauge,2026-09-15,96.1,SYNTHETIC
CIS-029,X Climate Node 2,PH100000000,X,8.4594,124.5498,Synoptic,2026-09-15,83.6,SYNTHETIC
CIS-030,XI Climate Node 2,PH110000000,XI,6.7965,125.6092,Air Quality/Met,2026-09-15,86.5,SYNTHETIC
CIS-031,XII Climate Node 2,PH120000000,XII,6.1064,125.2177,Synoptic,2026-09-15,83.5,SYNTHETIC
CIS-032,XIII Climate Node 2,PH160000000,XIII,8.8332,125.8061,Coastal,2026-09-15,83.1,SYNTHETIC
CIS-033,BARMM Climate Node 2,PH190000000,BARMM,7.4593,124.8564,Air Quality/Met,2026-09-15,93.4,SYNTHETIC
CIS-034,NCR Climate Node 2,PH130000000,NCR,14.2264,121.6056,AWS,2026-09-15,84.4,SYNTHETIC
CIS-035,CAR Climate Node 3,PH140000000,CAR,16.5325,119.9916,Coastal,2026-09-15,85.1,SYNTHETIC
CIS-036,I Climate Node 3,PH010000000,I,15.6341,120.9751,Coastal,2026-09-15,82.3,SYNTHETIC
CIS-037,II Climate Node 3,PH020000000,II,16.3826,121.1547,Coastal,2026-09-15,85.0,SYNTHETIC
CIS-038,III Climate Node 3,PH030000000,III,14.7921,120.2378,Rain Gauge,2026-09-15,86.0,SYNTHETIC
CIS-039,IV-A Climate Node 3,PH040000000,IV-A,13.7309,121.0352,Air Quality/Met,2026-09-15,95.4,SYNTHETIC
CIS-040,MIMAROPA Climate Node 3,PH170000000,MIMAROPA,13.0631,121.9841,Rain Gauge,2026-09-15,95.5,SYNTHETIC
