record_id,year,region_code,region_name,facility,fuel_or_source,activity_value,activity_unit,co2_t,ch4_t,n2o_t,source_office,data_status
AQ-2021-001,2021,R13,Caraga,Synthetic Permitted Source 01,diesel,26207.5,demo activity unit,58559.5,17.325,20.15,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-002,2021,CAR,Cordillera Administrative Region,Synthetic Permitted Source 02,fuel oil,25608.7,demo activity unit,16625.3,10.719,11.288,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-003,2021,R03,Central Luzon,Synthetic Permitted Source 03,LPG,8164.1,demo activity unit,10678.2,14.084,2.364,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-004,2021,R05,Bicol Region,Synthetic Permitted Source 04,coal,24722.9,demo activity unit,6657.3,1.138,3.534,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-005,2021,R08,Eastern Visayas,Synthetic Permitted Source 05,biomass,18012.9,demo activity unit,43402.9,45.283,39.182,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-006,2021,R11,Davao Region,Synthetic Permitted Source 06,diesel,48428.4,demo activity unit,51428.5,24.878,35.551,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-007,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Permitted Source 07,fuel oil,22547.2,demo activity unit,52442.7,63.092,47.386,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-008,2021,R01,Ilocos Region,Synthetic Permitted Source 08,LPG,9594.5,demo activity unit,3328.6,4.623,0.706,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-009,2021,R04A,CALABARZON,Synthetic Permitted Source 09,coal,4418.4,demo activity unit,3684.7,0.633,2.987,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2021-010,2021,R06,Western Visayas,Synthetic Permitted Source 10,biomass,3418,demo activity unit,9421.6,9.816,5.909,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
