record_id,year,region_code,region_name,gas,gas_family,quantity,unit,gwp_ar4,tco2e_proxy,application,source_office,data_status,ipcc_category
FG-2021-001,2021,R13,Caraga,CF4,PFC,884.01,kg,7390,6532.83,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-002,2021,R01,Ilocos Region,C2F6,PFC,315.85,kg,12200,3853.37,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-003,2021,MIMAROPA,MIMAROPA Region,SF6,SF6,459.07,kg,22800,10466.8,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-004,2021,R08,Eastern Visayas,NF3,NF3,854.99,kg,17200,14705.83,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-005,2021,R12,SOCCSKSARGEN,CF4,PFC,9.42,kg,7390,69.61,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-006,2021,CAR,Cordillera Administrative Region,C2F6,PFC,282.33,kg,12200,3444.43,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-007,2021,R04A,CALABARZON,SF6,SF6,749.67,kg,22800,17092.48,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-008,2021,R07,Central Visayas,NF3,NF3,465.97,kg,17200,8014.68,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-009,2021,R11,Davao Region,CF4,PFC,87.56,kg,7390,647.07,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-010,2021,NCR,National Capital Region,C2F6,PFC,417.36,kg,12200,5091.79,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-011,2021,R03,Central Luzon,SF6,SF6,339.39,kg,22800,7738.09,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-012,2021,R06,Western Visayas,NF3,NF3,579.87,kg,17200,9973.76,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-013,2021,R10,Northern Mindanao,CF4,PFC,263.42,kg,7390,1946.67,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-014,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,C2F6,PFC,696.13,kg,12200,8492.79,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-015,2021,R02,Cagayan Valley,SF6,SF6,73.4,kg,22800,1673.52,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-016,2021,R05,Bicol Region,NF3,NF3,814.49,kg,17200,14009.23,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-017,2021,R09,Zamboanga Peninsula,CF4,PFC,558.3,kg,7390,4125.84,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-018,2021,R13,Caraga,C2F6,PFC,313.98,kg,12200,3830.56,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-019,2021,R01,Ilocos Region,SF6,SF6,620.6,kg,22800,14149.68,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2021-020,2021,MIMAROPA,MIMAROPA Region,NF3,NF3,274.61,kg,17200,4723.29,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-001,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,CF4,PFC,122.27,kg,7390,903.58,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-002,2022,R02,Cagayan Valley,C2F6,PFC,265.54,kg,12200,3239.59,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-003,2022,R05,Bicol Region,SF6,SF6,239.01,kg,22800,5449.43,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-004,2022,R09,Zamboanga Peninsula,NF3,NF3,85.2,kg,17200,1465.44,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-005,2022,R13,Caraga,CF4,PFC,764.05,kg,7390,5646.33,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-006,2022,R01,Ilocos Region,C2F6,PFC,80.68,kg,12200,984.3,metal processing,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-007,2022,MIMAROPA,MIMAROPA Region,SF6,SF6,574.89,kg,22800,13107.49,semiconductor manufacture,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
FG-2022-008,2022,R08,Eastern Visayas,NF3,NF3,570.4,kg,17200,9810.88,electrical equipment,DENR-EMB EQMD / industry reporting,SYNTHETIC_DEMO,2.E/2.G
