year,region_psgc,region_code,sector,emissions_mtco2e,data_status,method
2020,PH130000000,NCR,Energy,6.106,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH130000000,NCR,Transport,2.794,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH130000000,NCR,Agriculture,1.695,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH130000000,NCR,Waste,0.914,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH130000000,NCR,IPPU,0.526,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH130000000,NCR,LULUCF,-0.321,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH140000000,CAR,Energy,0.636,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH140000000,CAR,Transport,0.288,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH140000000,CAR,Agriculture,0.286,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH140000000,CAR,Waste,0.176,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH140000000,CAR,IPPU,0.121,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH140000000,CAR,LULUCF,-0.08,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH010000000,I,Energy,1.127,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH010000000,I,Transport,0.342,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH010000000,I,Agriculture,0.506,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH010000000,I,Waste,0.257,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH010000000,I,IPPU,0.159,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
