region_psgc,region_code,region_name,centroid_lat,centroid_lon,population_2020
PH130000000,NCR,National Capital Region,14.6091,121.0223,13484462
PH140000000,CAR,Cordillera Administrative Region,16.4023,120.596,1797660
PH010000000,I,Ilocos Region,16.0832,120.619,5301139
PH020000000,II,Cagayan Valley,16.9754,121.8107,3685744
PH030000000,III,Central Luzon,15.4828,120.712,12422172
PH040000000,IV-A,CALABARZON,14.1008,121.0794,16195042
PH170000000,MIMAROPA,MIMAROPA Region,12.8797,121.774,3228558
PH050000000,V,Bicol Region,13.4209,123.4137,6082165
PH060000000,VI,Western Visayas,10.7202,122.5621,7954723
PH070000000,VII,Central Visayas,10.3157,123.8854,8081988
PH080000000,VIII,Eastern Visayas,11.2443,125.0048,4547150
PH090000000,IX,Zamboanga Peninsula,7.8383,123.2967,3875576
PH100000000,X,Northern Mindanao,8.0202,124.6857,5022768
PH110000000,XI,Davao Region,7.1907,125.4553,5243536
PH120000000,XII,SOCCSKSARGEN,6.2707,124.6857,4901486
PH160000000,XIII,Caraga,8.8015,125.7407,2804788
PH190000000,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,7.2167,124.25,4404288
