year,region_psgc,region_code,forest_cover_pct_land_area,mangrove_area_kha,protected_area_pct_land_area,watershed_condition_index,data_status
2025,PH130000000,NCR,1,3.6,5.8,73.1,SYNTHETIC
2025,PH140000000,CAR,22.3,0,3.8,81.8,SYNTHETIC
2025,PH010000000,I,31.1,0.3,2.7,49.2,SYNTHETIC
2025,PH020000000,II,26.8,5.1,3.8,54.1,SYNTHETIC
2025,PH030000000,III,19.2,6.8,8.3,62.1,SYNTHETIC
2025,PH040000000,IV-A,7.8,2.3,16.3,79.7,SYNTHETIC
2025,PH170000000,MIMAROPA,6.8,2.2,16.6,85.3,SYNTHETIC
2025,PH050000000,V,30.5,2.5,15.6,64.0,SYNTHETIC
2025,PH060000000,VI,20.2,4.4,5.9,61.1,SYNTHETIC
2025,PH070000000,VII,27.7,2.3,21.5,75.8,SYNTHETIC
2025,PH080000000,VIII,13.5,4.9,8.8,49.3,SYNTHETIC
2025,PH090000000,IX,13.4,3.8,15.2,42.1,SYNTHETIC
2025,PH100000000,X,11.7,5.1,10.6,50.0,SYNTHETIC
2025,PH110000000,XI,5.1,0.7,11.1,73.0,SYNTHETIC
2025,PH120000000,XII,18.4,0.8,13.0,56.1,SYNTHETIC
2025,PH160000000,XIII,15.1,3.7,13.6,48.4,SYNTHETIC
2025,PH190000000,BARMM,11.1,0.6,20.0,59.5,SYNTHETIC
