record_id,year,region_code,region_name,sector,estimated_tco2e,unit,derived_from,method_note,source_office,data_status
EMBOUT-2021-NCR,2021,NCR,National Capital Region,IPPU,321181.29,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-CAR,2021,CAR,Cordillera Administrative Region,IPPU,133150.38,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R01,2021,R01,Ilocos Region,IPPU,377251.95,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R02,2021,R02,Cagayan Valley,IPPU,164304.42,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R03,2021,R03,Central Luzon,IPPU,294329.05,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R04A,2021,R04A,CALABARZON,IPPU,116357.88,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-MIMAROPA,2021,MIMAROPA,MIMAROPA Region,IPPU,173863.09,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R05,2021,R05,Bicol Region,IPPU,202767.83,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R06,2021,R06,Western Visayas,IPPU,159537.5,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R07,2021,R07,Central Visayas,IPPU,18637.38,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R08,2021,R08,Eastern Visayas,IPPU,111463.39,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R09,2021,R09,Zamboanga Peninsula,IPPU,120189.14,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R10,2021,R10,Northern Mindanao,IPPU,134667.32,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R11,2021,R11,Davao Region,IPPU,338941.97,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R12,2021,R12,SOCCSKSARGEN,IPPU,123361.81,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-R13,2021,R13,Caraga,IPPU,404642.89,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2021-BARMM,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,IPPU,135546.89,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-NCR,2022,NCR,National Capital Region,IPPU,196746.03,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-CAR,2022,CAR,Cordillera Administrative Region,IPPU,213944.4,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R01,2022,R01,Ilocos Region,IPPU,185340.25,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R02,2022,R02,Cagayan Valley,IPPU,323248.82,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R03,2022,R03,Central Luzon,IPPU,426273.04,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R04A,2022,R04A,CALABARZON,IPPU,168006.62,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-MIMAROPA,2022,MIMAROPA,MIMAROPA Region,IPPU,370544.69,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R05,2022,R05,Bicol Region,IPPU,146536.09,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R06,2022,R06,Western Visayas,IPPU,279606.51,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
EMBOUT-2022-R07,2022,R07,Central Visayas,IPPU,50916.88,tCO2e proxy,POD HFC + F-gas + industrial-process synthetic streams,PoC derivation only; not official GHGI,DENR-EMB,SYNTHETIC_DERIVED
