record_id,year,region_code,region_name,substance,management_action,quantity_kg,unit,facility,source_office,data_status
ODS-2021-001,2021,R13,Caraga,HCFC-22,recovered,2375.9,kg,Synthetic service/recovery center 1,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-002,2021,R04A,CALABARZON,CFC-11,stored,635.5,kg,Synthetic service/recovery center 2,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-003,2021,R10,Northern Mindanao,CFC-12,reclaimed,2820.1,kg,Synthetic service/recovery center 3,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-004,2021,R01,Ilocos Region,Halon-1301,destroyed,4055.7,kg,Synthetic service/recovery center 4,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-005,2021,R07,Central Visayas,HFC-134a,recovered,2300.1,kg,Synthetic service/recovery center 5,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-006,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,HCFC-22,stored,1637.4,kg,Synthetic service/recovery center 6,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-007,2021,MIMAROPA,MIMAROPA Region,CFC-11,reclaimed,1528.2,kg,Synthetic service/recovery center 7,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-008,2021,R11,Davao Region,CFC-12,destroyed,1208.3,kg,Synthetic service/recovery center 8,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-009,2021,R02,Cagayan Valley,Halon-1301,recovered,1256,kg,Synthetic service/recovery center 1,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-010,2021,R08,Eastern Visayas,HFC-134a,stored,1913,kg,Synthetic service/recovery center 2,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-011,2021,NCR,National Capital Region,HCFC-22,reclaimed,2336.9,kg,Synthetic service/recovery center 3,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-012,2021,R05,Bicol Region,CFC-11,destroyed,3645.9,kg,Synthetic service/recovery center 4,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-013,2021,R12,SOCCSKSARGEN,CFC-12,recovered,2730,kg,Synthetic service/recovery center 5,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-014,2021,R03,Central Luzon,Halon-1301,stored,3543.1,kg,Synthetic service/recovery center 6,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-015,2021,R09,Zamboanga Peninsula,HFC-134a,reclaimed,4187.4,kg,Synthetic service/recovery center 7,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-016,2021,CAR,Cordillera Administrative Region,HCFC-22,destroyed,408.2,kg,Synthetic service/recovery center 8,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-017,2021,R06,Western Visayas,CFC-11,recovered,58.8,kg,Synthetic service/recovery center 1,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2021-018,2021,R13,Caraga,CFC-12,stored,1938.6,kg,Synthetic service/recovery center 2,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2022-001,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,HCFC-22,recovered,656.5,kg,Synthetic service/recovery center 1,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2022-002,2022,MIMAROPA,MIMAROPA Region,CFC-11,stored,1397.7,kg,Synthetic service/recovery center 2,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2022-003,2022,R11,Davao Region,CFC-12,reclaimed,1732.2,kg,Synthetic service/recovery center 3,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2022-004,2022,R02,Cagayan Valley,Halon-1301,destroyed,3998.3,kg,Synthetic service/recovery center 4,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
ODS-2022-005,2022,R08,Eastern Visayas,HFC-134a,recovered,1023.6,kg,Synthetic service/recovery center 5,DENR-EMB POD / CHWMS,SYNTHETIC_DEMO
