record_id,year,region_code,region_name,substance,activity_type,quantity,unit,gwp_ar4,tco2e_proxy,source_office,reporting_entity,data_status,ipcc_category
POD-2021-001,2021,R13,Caraga,HFC-134a,Import/placing on market,15.14,metric tonne,1430,21650.2,DENR-EMB Philippine Ozone Desk,Synthetic importer 1,SYNTHETIC_DEMO,2.F
POD-2021-002,2021,CAR,Cordillera Administrative Region,HFC-32,Import/placing on market,61.09,metric tonne,675,41235.75,DENR-EMB Philippine Ozone Desk,Synthetic importer 2,SYNTHETIC_DEMO,2.F
POD-2021-003,2021,R03,Central Luzon,HFC-125,Import/placing on market,58.15,metric tonne,3500,203525,DENR-EMB Philippine Ozone Desk,Synthetic importer 3,SYNTHETIC_DEMO,2.F
POD-2021-004,2021,R05,Bicol Region,HFC-143a,Import/placing on market,12.2,metric tonne,4470,54534,DENR-EMB Philippine Ozone Desk,Synthetic importer 4,SYNTHETIC_DEMO,2.F
POD-2021-005,2021,R08,Eastern Visayas,HFC-152a,Import/placing on market,60.49,metric tonne,124,7500.76,DENR-EMB Philippine Ozone Desk,Synthetic importer 5,SYNTHETIC_DEMO,2.F
POD-2021-006,2021,R11,Davao Region,HFC-134a,Import/placing on market,37.85,metric tonne,1430,54125.5,DENR-EMB Philippine Ozone Desk,Synthetic importer 6,SYNTHETIC_DEMO,2.F
POD-2021-007,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,HFC-32,Import/placing on market,41.4,metric tonne,675,27945,DENR-EMB Philippine Ozone Desk,Synthetic importer 7,SYNTHETIC_DEMO,2.F
POD-2021-008,2021,R01,Ilocos Region,HFC-125,Import/placing on market,94.02,metric tonne,3500,329070,DENR-EMB Philippine Ozone Desk,Synthetic importer 8,SYNTHETIC_DEMO,2.F
POD-2021-009,2021,R04A,CALABARZON,HFC-143a,Import/placing on market,1.64,metric tonne,4470,7330.8,DENR-EMB Philippine Ozone Desk,Synthetic importer 9,SYNTHETIC_DEMO,2.F
POD-2021-010,2021,R06,Western Visayas,HFC-152a,Import/placing on market,73.16,metric tonne,124,9071.84,DENR-EMB Philippine Ozone Desk,Synthetic importer 1,SYNTHETIC_DEMO,2.F
