record_id,year,facility_id,operator,region_code,region_name,commodity,raw_material_moved_t,disturbed_area_ha,rehabilitated_area_ha,report_basis,source_office,data_status
IAR-2021-001,2021,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,977878.2,1135.75,169.56,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-002,2021,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,1554892.9,1042.23,123.06,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-003,2021,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,115384,1042.93,120.37,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-004,2021,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,688218.9,536.55,172.48,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-005,2021,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,80046.9,717.56,294.39,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-006,2021,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,2399790.5,853.15,190.81,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-007,2021,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,999420.3,177.51,33.4,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-008,2021,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,913563.7,727.15,189.24,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-009,2021,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,1122406.4,533.47,134.75,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-010,2021,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,1225677.9,1070.66,256.82,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
IAR-2021-011,2021,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,41895,1124.61,284.54,MGB Form 29-16 / Annual Land Use Format,DENR-MGB,SYNTHETIC_DEMO
