record_id,year,facility_id,operator,region_code,region_name,commodity,production_volume,unit,production_value_php,report_basis,source_office,data_status
MP-2021-001,2021,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,834073.8,metric tonne,8281265977.48,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-002,2021,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,697069.5,metric tonne,11514879645.92,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-003,2021,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,829891.1,metric tonne,11615722339.75,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-004,2021,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,699601.4,metric tonne,7541171337.42,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-005,2021,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,12338.6,metric tonne,73309238.06,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-006,2021,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,825903.2,metric tonne,2547847692.77,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-007,2021,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,525629.3,metric tonne,5378473945.07,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-008,2021,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,260630.3,metric tonne,3280197336.2,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-009,2021,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,628802.7,metric tonne,8630317910.88,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-010,2021,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,88778.2,metric tonne,302289639.69,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-011,2021,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,674639.5,metric tonne,3323610609.99,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-012,2021,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,708890.2,metric tonne,8121674032.68,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-013,2021,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,329064.9,metric tonne,373327228.98,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-014,2021,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,384840.6,metric tonne,6058533910.58,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-015,2021,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,376394.5,metric tonne,2387361495.88,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-016,2021,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,600922,metric tonne,8659401369.22,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-017,2021,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,686643.6,metric tonne,5151544294.43,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
